File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
tests4_510.point,510,1775,0.0152,1.806,0,169,157,0
tests13_890.point,890,5729,0.0423,7.7546,0,171,153,0
tests0_880.point,880,5545,0.046,7.8671,0,171,162,0
tests9_590.point,590,2472,0.0202,2.6722,0,171,153,0
tests18_510.point,510,1888,0.0142,1.9237,0,177,151,0
tests16_590.point,590,2488,0.02,2.6657,0,174,158,0
tests11_850.point,850,5288,0.039,7.172,0,171,163,0
tests17_530.point,530,2071,0.0158,2.1128,0,172,147,0
tests5_790.point,790,4389,0.0317,5.7281,0,167,152,0
tests12_840.point,840,5088,0.0407,6.8259,0,178,168,0
tests13_920.point,920,6169,0.0488,8.7495,0,178,166,0
tests3_960.point,960,6612,0.0512,9.9668,0,175,163,0
tests10_610.point,610,2703,0.0194,2.9525,0,177,157,0
tests19_840.point,840,5028,0.0378,6.8909,0,172,162,0
tests17_690.point,690,3529,0.0258,4.1776,0,168,155,0
tests11_570.point,570,2447,0.0188,2.6038,0,176,150,0
tests12_530.point,530,2047,0.0155,2.1717,0,168,158,0
tests6_660.point,660,3151,0.0231,3.6806,0,173,161,0
tests19_940.point,940,6315,0.0466,9.5068,0,174,161,0
tests1_540.point,540,2074,0.0181,2.0879,0,172,160,0
tests0_830.point,830,5141,0.0336,6.5176,0,170,164,0
tests17_710.point,710,3606,0.0275,4.342,0,173,164,0
tests10_510.point,510,1872,0.0144,1.8944,0,167,148,0
tests17_980.point,980,6905,0.0505,10.6092,0,177,155,0
tests7_500.point,500,1803,0.015,1.8529,0,171,150,0
tests5_710.point,710,3570,0.026,4.2483,0,175,155,0
tests14_990.point,990,7120,0.0743,13.0971,0,177,166,0
tests18_930.point,930,6275,0.0492,11.1301,0,174,154,0
tests10_740.point,740,3931,0.0456,9.2547,0,166,159,0
tests0_720.point,720,3724,0.1013,6.6961,0,172,157,0
tests1_650.point,650,2989,0.0632,8.8658,0,176,163,0
tests2_770.point,770,4368,0.0534,13.4896,0,172,161,0
tests5_550.point,550,2182,0.0186,2.8075,0,181,168,0
tests1_820.point,820,4954,0.0396,7.6985,0,177,161,0
tests19_530.point,530,1960,0.0223,3.6908,0,170,153,0
tests1_840.point,840,5033,0.1266,13.1071,0,180,162,0
tests7_730.point,730,3854,0.0688,12.0412,0,179,160,0
tests1_760.point,760,4176,0.0343,8.2207,0,169,161,0
tests12_830.point,830,4955,0.0369,6.7767,0,182,164,0
tests17_880.point,880,5672,0.0421,7.6717,0,178,161,0
tests6_890.point,890,5715,0.0454,8.288,0,173,157,0
tests3_580.point,580,2426,0.0196,2.6777,0,177,155,0
tests7_580.point,580,2373,0.019,2.5384,0,173,161,0
tests13_520.point,520,1945,0.0149,1.8992,0,168,154,0
tests14_690.point,690,3325,0.0317,5.181,0,183,157,0
tests11_900.point,900,5788,0.0448,8.1614,0,182,166,0
tests19_740.point,740,4007,0.0275,4.9036,0,171,156,0
tests4_520.point,520,1893,0.0157,1.998,0,177,153,0
tests16_630.point,630,2926,0.0204,3.2132,0,177,154,0
tests7_530.point,530,2031,0.0164,1.9534,0,174,153,0
tests17_890.point,890,5593,0.0459,7.5066,0,184,169,0
tests17_1000.point,1000,7133,0.0595,11.3015,0,179,169,0
tests16_810.point,810,4700,0.0366,6.1612,0,177,165,0
tests9_880.point,880,5540,0.0451,7.4965,0,171,165,0
tests17_780.point,780,4285,0.034,5.7837,0,172,165,0
tests15_590.point,590,2578,0.0197,2.6978,0,170,157,0
tests16_770.point,770,4134,0.0354,5.2371,0,178,157,0
tests16_690.point,690,3355,0.0263,4.0675,0,170,157,0
tests12_990.point,990,7138,0.0539,10.5523,0,177,168,0
tests15_990.point,990,7057,0.0557,10.5787,0,174,166,0
tests12_630.point,630,2927,0.0228,3.1739,0,171,151,0
tests4_980.point,980,6897,0.0522,10.6229,0,173,168,0
tests2_820.point,820,4937,0.0381,6.3983,0,177,167,0
tests0_860.point,860,5279,0.0407,7.4675,0,177,158,0
tests1_1000.point,1000,7266,0.0539,11.4805,0,171,162,0
tests8_640.point,640,2921,0.0222,3.1226,0,171,163,0
tests6_880.point,880,5588,0.0441,8.097,0,170,158,0
tests13_980.point,980,6981,0.0601,10.3954,0,178,162,0
tests9_670.point,670,3300,0.025,3.7299,0,172,160,0
tests7_690.point,690,3458,0.029,3.9366,0,173,155,0
tests14_650.point,650,2926,0.0219,3.4292,0,176,154,0
tests7_970.point,970,6734,0.0527,10.3626,0,182,161,0
tests9_570.point,570,2381,0.0198,2.3861,0,176,152,0
tests3_900.point,900,5857,0.0429,8.3498,0,180,161,0
tests8_890.point,890,5735,0.0439,8.1617,0,166,159,0
tests1_600.point,600,2558,0.0207,2.7649,0,178,157,0
tests7_840.point,840,5049,0.0492,7.4955,0,182,162,0
tests9_770.point,770,4231,0.07,6.0515,0,178,163,0
tests14_910.point,910,5939,0.0471,9.548,0,180,160,0
tests17_670.point,670,3131,0.0283,3.7607,0,186,156,0
tests12_570.point,570,2294,0.0175,2.4873,0,173,158,0
tests11_800.point,800,4710,0.036,6.4029,0,170,158,0
tests13_790.point,790,4415,0.0384,6.6214,0,169,163,0
tests19_1000.point,1000,7256,0.0521,11.8738,0,171,169,0
tests18_560.point,560,2304,0.0195,2.497,0,169,145,0
tests7_750.point,750,3979,0.03,5.1436,0,176,170,0
tests12_980.point,980,6933,0.0501,10.6628,0,174,160,0
tests15_850.point,850,5195,0.0375,7.6914,0,174,161,0
tests2_640.point,640,2954,0.0244,3.6703,0,175,156,0
tests11_510.point,510,1921,0.0171,1.9852,0,172,152,0
tests19_790.point,790,4538,0.034,5.8625,0,170,153,0
tests13_910.point,910,6174,0.047,8.7558,0,172,161,0
tests15_510.point,510,1847,0.0136,1.9055,0,173,161,0
tests8_870.point,870,5427,0.0476,8.5203,0,187,166,0
tests2_980.point,980,6843,0.0611,10.7751,0,175,169,0
tests10_770.point,770,4165,0.1044,5.9512,0,172,166,0
tests1_500.point,500,1855,0.0182,3.2913,0,165,152,0
tests12_760.point,760,4204,0.0353,6.3974,0,176,156,0
tests0_780.point,780,4395,0.0336,7.1896,0,167,159,0
tests11_920.point,920,6209,0.0592,12.4994,0,176,163,0
tests8_940.point,940,6271,0.0503,9.4656,0,174,164,0
tests16_940.point,940,6491,0.0516,9.6854,0,180,163,0
tests10_680.point,680,3354,0.0263,3.895,0,169,159,0
tests4_770.point,770,4154,0.0343,7.1349,0,177,166,0
tests4_620.point,620,2939,0.0194,4.7233,0,164,155,0
tests3_600.point,600,2572,0.0217,2.8038,0,176,155,0
tests14_520.point,520,1892,0.018,3.7409,0,181,155,0
tests1_580.point,580,2325,0.0207,3.4183,0,174,162,0
tests19_810.point,810,4811,0.0413,6.724,0,168,152,0
tests6_770.point,770,4302,0.0862,10.7871,0,178,156,0
tests15_880.point,880,5634,0.0511,15.1316,0,180,159,0
tests7_620.point,620,2741,0.0266,3.1935,0,184,161,0
tests3_650.point,650,2977,0.0225,4.0181,0,173,154,0
tests19_690.point,690,3374,0.0264,4.0569,0,175,158,0
tests5_500.point,500,1737,0.0149,1.7895,0,180,157,0
tests8_920.point,920,6106,0.0443,10.4396,0,164,150,0
tests18_540.point,540,2138,0.0164,2.1026,0,175,154,0
tests2_750.point,750,4189,0.0314,4.9317,0,167,157,0
tests19_980.point,980,7144,0.0529,10.9366,0,177,163,0
tests18_920.point,920,6075,0.0481,8.7936,0,178,166,0
tests1_570.point,570,2379,0.0185,2.6241,0,169,158,0
tests5_930.point,930,6332,0.0737,11.0181,0,182,162,0
tests13_720.point,720,3737,0.0325,4.716,0,175,160,0
tests18_770.point,770,4347,0.0326,6.0572,0,171,166,0
tests14_900.point,900,5789,0.0474,8.5538,0,174,162,0
tests16_850.point,850,5281,0.0492,10.9809,0,181,163,0
tests17_700.point,700,3623,0.0267,4.3123,0,159,151,0
tests8_610.point,610,2640,0.0261,2.8655,0,180,156,0
tests12_640.point,640,3006,0.0297,3.4624,0,172,156,0
tests9_900.point,900,5752,0.0442,8.1492,0,174,163,0
tests4_810.point,810,4839,0.0372,6.3775,0,182,172,0
tests10_650.point,650,3050,0.0243,3.4217,0,170,162,0
tests2_870.point,870,5481,0.0419,7.8994,0,173,160,0
tests2_840.point,840,5022,0.0372,6.9988,0,177,161,0
tests10_620.point,620,2795,0.0216,3.1281,0,174,154,0
tests5_990.point,990,7013,0.0539,10.8269,0,179,166,0
tests13_1000.point,1000,7249,0.0511,12.5565,0,176,165,0
tests12_600.point,600,2629,0.0199,4.1403,0,172,158,0
tests2_590.point,590,2384,0.0181,2.6461,0,165,156,0
tests19_500.point,500,1785,0.0155,1.8211,0,169,152,0
tests8_500.point,500,1775,0.0154,1.7248,0,180,144,0
tests8_520.point,520,1878,0.0149,1.9282,0,162,153,0
tests7_910.point,910,6009,0.1535,12.443,0,178,165,0
tests3_780.point,780,4412,0.0541,11.5317,0,179,161,0
tests4_870.point,870,5482,0.1219,13.2101,0,177,159,0
tests3_1000.point,1000,7302,0.0693,15.1514,0,174,166,0
tests15_910.point,910,5981,0.053,12.9843,0,175,154,0
tests16_580.point,580,2439,0.0224,2.8239,0,169,158,0
tests11_780.point,780,4287,0.0333,7.6125,0,171,165,0
tests7_850.point,850,5311,0.0381,8.3817,0,174,163,0
tests10_960.point,960,6818,0.0568,10.6478,0,178,165,0
tests1_780.point,780,4412,0.0637,8.008,0,167,161,0
tests1_790.point,790,4470,0.0394,8.8032,0,175,161,0
tests8_800.point,800,4646,0.0354,7.5089,0,181,158,0
tests18_730.point,730,3769,0.0375,5.81,0,172,156,0
tests5_750.point,750,4052,0.0363,5.9718,0,175,165,0
tests0_700.point,700,3434,0.035,4.3829,0,169,157,0
tests6_510.point,510,1844,0.0401,2.7974,0,166,157,0
tests16_720.point,720,3753,0.0327,5.7348,0,174,159,0
tests6_590.point,590,2475,0.0227,4.292,0,181,157,0
tests11_970.point,970,6776,0.0551,12.7307,0,173,159,0
tests14_630.point,630,2864,0.0222,3.5355,0,171,159,0
tests15_530.point,530,2044,0.0149,2.1291,0,177,156,0
tests6_820.point,820,4984,0.0411,7.4909,0,181,160,0
tests5_520.point,520,1995,0.0167,2.472,0,175,152,0
tests12_850.point,850,5339,0.1144,18.9958,0,174,160,0
tests3_720.point,720,3660,0.049,7.2727,0,179,152,0
tests16_510.point,510,1909,0.0162,2.7771,0,167,155,0
