File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
input1147,1147,10937,0.059,17.5898,0,168,148,0
input468,468,1881,0.011,1.4992,0,144,138,0
input666,666,3860,0.0205,3.4509,0,148,144,0
input645,645,3609,0.0185,2.9767,0,153,141,0
input505,505,2209,0.0118,1.6252,0,150,122,0
input1309,1309,14552,0.068,21.54,0,165,155,0
input1076,1076,9880,0.0487,12.7886,0,166,152,0
input1146,1146,11599,0.0568,17.9005,0,163,159,0
input1327,1327,14968,0.0715,25.941,0,157,160,0
input1325,1325,14935,0.0748,35.2537,0,173,156,0
input588,588,3021,0.0164,2.4692,0,149,137,0
input1253,1253,13518,0.0616,27.7732,0,170,152,0
input562,562,2793,0.0196,3.4229,0,137,131,0
input1068,1068,9657,0.0465,17.8837,0,154,143,0
input786,786,5241,0.0244,5.4276,0,153,139,0
input1307,1307,14111,0.0675,22.2403,0,175,154,0
input616,616,3316,0.0174,2.6714,0,145,132,0
input1026,1026,8924,0.044,11.2088,0,163,151,0
input695,695,4209,0.0223,3.6934,0,156,145,0
input711,711,4347,0.0223,4.0265,0,150,145,0
input791,791,5180,0.0294,5.1848,0,161,152,0
input545,545,2543,0.0134,1.9638,0,147,133,0
input1216,1216,12804,0.058,18.8182,0,161,161,0
input653,653,3778,0.0198,3.0835,0,156,145,0
input912,912,7353,0.0398,10.2392,0,153,146,0
input1294,1294,14379,0.0959,28.2628,0,165,157,0
input665,665,3893,0.0272,3.8915,0,147,138,0
input799,799,5464,0.0298,6.9354,0,161,149,0
input435,435,1674,0.0096,1.2712,0,153,129,0
input405,405,1527,0.009,1.1134,0,143,118,0
input1254,1254,13324,0.0637,26.1031,0,164,159,0
input520,520,2221,0.0171,1.8127,0,155,130,0
input1103,1103,10226,0.0506,19.4936,0,159,159,0
input395,395,1453,0.0084,0.9145,0,143,124,0
input491,491,2070,0.0119,1.5769,0,151,128,0
input1089,1089,9950,0.0478,14.4292,0,157,155,0
input826,826,5819,0.0296,8.0223,0,155,147,0
input937,937,7654,0.038,8.5299,0,160,144,0
input384,384,1434,0.0079,0.869,0,130,111,0
input1344,1344,15145,0.0736,23.777,0,168,158,0
input1348,1348,15255,0.0702,25.6897,0,169,166,0
input864,864,6420,0.0334,6.925,0,164,148,0
input407,407,1498,0.0091,0.9351,0,149,129,0
input22,22,97,0.0003,0.0032,0,5,3,0
